19:40:05.375978: CONFIG: CAN_MODE = 0, CAMERA_MODE = 1, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
19:40:12.767957: Iter 39, FPS: 9.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.65526258845412, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.505577132972033, 'throttle': 0.0, 'brake': 0.0}
19:40:12.866966: Iter 40, FPS: 10.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.975156668053987, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.9919161171830877, 'throttle': 0.0, 'brake': 0.0}
19:40:12.968739: Iter 41, FPS: 10.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.100088134581023, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.8610565431347013, 'throttle': 0.0, 'brake': 0.0}
19:40:13.075786: Iter 42, FPS: 9.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.886816647494767, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.2595504840053313, 'throttle': 0.0, 'brake': 0.0}
19:40:13.175103: Iter 43, FPS: 9.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.341704770962188, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.278228055357875, 'throttle': 0.0, 'brake': 0.0}
19:40:13.286912: Iter 44, FPS: 10.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.06327841398488, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.4068079818844685, 'throttle': 0.0, 'brake': 0.0}
19:40:13.386817: Iter 45, FPS: 9.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.024472319641973, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -7.077120171368484, 'throttle': 0.0, 'brake': 0.0}
19:40:13.487773: Iter 46, FPS: 10.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.00955540176121, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.734772401845083, 'throttle': 0.0, 'brake': 0.0}
19:40:13.579820: Iter 47, FPS: 9.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.928380707103225, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.997288858147344, 'throttle': 0.0, 'brake': 0.0}
19:40:13.672811: Iter 48, FPS: 10.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.927305080020947, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.52006530043177, 'throttle': 0.0, 'brake': 0.0}
19:40:13.773670: Iter 49, FPS: 10.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.883836313153592, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.5197433838498364, 'throttle': 0.0, 'brake': 0.0}
19:40:13.873609: Iter 50, FPS: 9.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.821874919503463, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.8029261447955323, 'throttle': 0.0, 'brake': 0.0}
19:40:13.992547: Iter 51, FPS: 10.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.010773809665878, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -4.072329428391933, 'throttle': 0.0, 'brake': 0.0}
19:40:14.097852: Iter 52, FPS: 8.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.412128310756875, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -4.594605901534974, 'throttle': 0.0, 'brake': 0.0}
19:40:14.199912: Iter 53, FPS: 9.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.502769741060364, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -6.330021102429542, 'throttle': 0.0, 'brake': 0.0}
