2024_04_18__14:56:09.285416: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__14:56:29.256750: Iter 46, FPS: 6.6, STATE: {'speed': 4.8610968589782715, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 6.562880322956681, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.38729197425574624, 'throttle': 0.0, 'brake': 0.01104879379272461}
2024_04_18__14:56:29.361495: Iter 47, FPS: 8.5, STATE: {'speed': 4.917149066925049, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.496978463321199, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.5217472246943297, 'throttle': 0.0, 'brake': 0.01104879379272461}
2024_04_18__14:56:29.499657: Iter 48, FPS: 9.5, STATE: {'speed': 6.28941535949707, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.546047121372128, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.43320880294503533, 'throttle': 0.0, 'brake': 0.12894153594970703}
2024_04_18__14:56:29.610406: Iter 49, FPS: 7.3, STATE: {'speed': 7.123136520385742, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.291106850258056, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.35696620884737723, 'throttle': 0.0, 'brake': 0.21231365203857422}
2024_04_18__14:56:29.742013: Iter 50, FPS: 9.1, STATE: {'speed': 7.860301971435547, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.111337514310106, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.2592301103642911, 'throttle': 0.0, 'brake': 0.2860301971435547}
2024_04_18__14:56:29.858697: Iter 51, FPS: 7.6, STATE: {'speed': 8.23713207244873, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.595638528863689, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.5889358895106639, 'throttle': 0.0, 'brake': 0.32371320724487307}
2024_04_18__14:56:29.965450: Iter 52, FPS: 8.6, STATE: {'speed': 7.8866143226623535, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.644074992323118, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.47988523695818075, 'throttle': 0.0, 'brake': 0.28866143226623536}
2024_04_18__14:56:30.071377: Iter 53, FPS: 9.5, STATE: {'speed': 7.170624732971191, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.455553777100462, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.4356028405075273, 'throttle': 0.0, 'brake': 0.21706247329711914}
2024_04_18__14:56:30.183612: Iter 54, FPS: 9.5, STATE: {'speed': 6.537250995635986, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.526511718758872, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.6745764504828469, 'throttle': 0.0, 'brake': 0.15372509956359864}
2024_04_18__14:56:30.281420: Iter 55, FPS: 8.8, STATE: {'speed': 6.121926784515381, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.831322180930021, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.5267465116586666, 'throttle': 0.0, 'brake': 0.11219267845153809}
2024_04_18__14:56:30.412068: Iter 56, FPS: 10.2, STATE: {'speed': 5.580530166625977, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.224099727718368, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.3770676471954826, 'throttle': 0.0, 'brake': 0.058053016662597656}
2024_04_18__14:56:30.550474: Iter 57, FPS: 7.7, STATE: {'speed': 5.331520080566406, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.709579110282737, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.18303740861173134, 'throttle': 0.0, 'brake': 0.033152008056640626}
2024_04_18__14:56:30.692121: Iter 58, FPS: 7.3, STATE: {'speed': 5.183868408203125, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.2807033684265345, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.3865554180285603, 'throttle': 0.0, 'brake': 0.0183868408203125}
2024_04_18__14:56:30.782735: Iter 59, FPS: 7.0, STATE: {'speed': 4.904595851898193, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.009221287504303, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 0.3082759827790332, 'throttle': 0.0, 'brake': 0.0183868408203125}
2024_04_18__14:56:30.955273: Iter 60, FPS: 11.2, STATE: {'speed': 5.281950950622559, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.161713361151325, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.10688404428078213, 'throttle': 0.0, 'brake': 0.02819509506225586}
