2024_04_18__16:27:19.418129: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__16:27:31.150518: Iter 32, FPS: 11.0, STATE: {'status': 'as_driving', 'speed': 4.830972671508789, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.961660490181217, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.5199295558397471, 'throttle': 0.0, 'brake': 0.004418516159057618}
2024_04_18__16:27:31.241319: Iter 33, FPS: 11.6, STATE: {'status': 'as_driving', 'speed': 4.72635555267334, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.60105657663638, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.5254650477372631, 'throttle': 0.0, 'brake': 0.004418516159057618}
2024_04_18__16:27:31.328043: Iter 34, FPS: 11.1, STATE: {'status': 'as_driving', 'speed': 5.634774208068848, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.135369625529316, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.5095974698423182, 'throttle': 0.0, 'brake': 0.06347742080688477}
2024_04_18__16:27:31.414811: Iter 35, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 6.387202739715576, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.399671678462324, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.48630919025514835, 'throttle': 0.0, 'brake': 0.13872027397155762}
2024_04_18__16:27:31.502623: Iter 36, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 7.289669513702393, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.524997870475447, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.9574871019270699, 'throttle': 0.0, 'brake': 0.22896695137023926}
2024_04_18__16:27:31.588349: Iter 37, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 7.756369590759277, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.518889169623534, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -1.2913297009416649, 'throttle': 0.0, 'brake': 0.2756369590759277}
2024_04_18__16:27:31.676158: Iter 38, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 7.76131010055542, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.530954547578922, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -1.1754223616882737, 'throttle': 0.0, 'brake': 0.276131010055542}
2024_04_18__16:27:31.762918: Iter 39, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 7.25837516784668, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.519205523544825, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -1.0383898961951348, 'throttle': 0.0, 'brake': 0.22583751678466799}
2024_04_18__16:27:31.848652: Iter 40, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 6.683406829833984, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.525979664743062, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.892514683830328, 'throttle': 0.0, 'brake': 0.16834068298339844}
2024_04_18__16:27:31.935443: Iter 41, FPS: 11.7, STATE: {'status': 'as_driving', 'speed': 5.980897903442383, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.664031279808006, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.7670159218291617, 'throttle': 0.0, 'brake': 0.09808979034423829}
