2024_04_16__11:09:48.660123: CONFIG: CAN_MODE = 0, CAMERA_MODE = 2, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__11:09:54.870009: Iter 47, FPS: 21.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 21.774792079824735, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:54.907919: Iter 48, FPS: 22.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 22.110544710775606, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:54.951751: Iter 49, FPS: 26.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 26.378275033646528, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:54.996291: Iter 50, FPS: 24.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 24.30959156586703, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.036969: Iter 51, FPS: 22.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 22.68258045675534, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.080233: Iter 52, FPS: 24.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 24.335826307941353, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.137519: Iter 53, FPS: 23.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 23.660406947554872, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.179604: Iter 54, FPS: 17.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 17.747282459221022, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.222090: Iter 55, FPS: 23.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 23.51620897296449, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.263936: Iter 56, FPS: 23.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 23.87631213425325, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.304883: Iter 57, FPS: 23.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 23.89767023149546, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.341057: Iter 58, FPS: 25.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 25.00881863659943, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.391006: Iter 59, FPS: 28.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 28.45177658087886, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.432938: Iter 60, FPS: 20.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.02054415274463, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.474438: Iter 61, FPS: 23.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 23.84807477995861, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.517382: Iter 62, FPS: 24.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 24.096747691901115, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.557613: Iter 63, FPS: 23.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 23.285776941312324, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.604894: Iter 64, FPS: 25.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 25.48861177957656, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.649065: Iter 65, FPS: 23.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 23.55702082011132, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.690943: Iter 66, FPS: 22.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 22.639483982403583, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.735554: Iter 67, FPS: 23.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 23.878758895530886, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.780790: Iter 68, FPS: 22.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 22.41588772559897, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.824188: Iter 69, FPS: 22.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 22.10634944896249, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__11:09:55.863899: Iter 70, FPS: 24.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 24.810145750520537, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.0, 'throttle': 0.0, 'brake': 0.0}
