2024_04_18__16:26:42.835749: CONFIG: VISUALIZE: True, CAMERA_MODE: image, COMM_MODE: off, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__16:26:54.870674: Iter 33, FPS: 8.0, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.954046617120252, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:54.986982: Iter 34, FPS: 8.3, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.290612954873396, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:55.125658: Iter 35, FPS: 8.6, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.597898033942222, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:55.234421: Iter 36, FPS: 7.2, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.211056840121792, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:55.358329: Iter 37, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.19430494207394, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:55.480813: Iter 38, FPS: 8.1, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.070501127556243, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:55.601475: Iter 39, FPS: 8.2, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.164333751837036, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:55.747289: Iter 40, FPS: 8.3, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.287615122121823, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:55.855751: Iter 41, FPS: 6.9, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 6.903272315506384, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
2024_04_18__16:26:55.974518: Iter 42, FPS: 9.2, STATE: {'status': 'as_driving', 'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.219831091923451, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7851961935888094, 'throttle': 0.0, 'brake': 0.0}
