2024_04_16__03:10:18.495236: CONFIG: CAN_MODE = 0, CAMERA_MODE = 1, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__03:10:21.467190: Iter 40, FPS: 19.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.253616103192638, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.9919161171830877, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.515923: Iter 41, FPS: 20.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.139168179155504, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.8610565431347013, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.566054: Iter 42, FPS: 20.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.519777106989622, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.2595504840053313, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.616995: Iter 43, FPS: 19.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.947798957501046, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.278228055357875, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.675238: Iter 44, FPS: 19.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.630556673624696, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.4068079818844685, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.732836: Iter 45, FPS: 17.2, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 17.169434563160845, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -7.077120171368484, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.783524: Iter 46, FPS: 17.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 17.361607715710825, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.734772401845083, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.831574: Iter 47, FPS: 20.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.12496341399049, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.997288858147344, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.881718: Iter 48, FPS: 20.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.811789515468778, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.52006530043177, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.933580: Iter 49, FPS: 19.9, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.942203182723716, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.5197433838498364, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:21.981764: Iter 50, FPS: 19.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.282117293343692, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.8029261447955323, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:22.032872: Iter 51, FPS: 20.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 20.753607125185553, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -4.072329428391933, 'throttle': 0.0, 'brake': 0.0}
2024_04_16__03:10:22.117044: Iter 52, FPS: 19.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 19.566726846085306, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -4.594605901534974, 'throttle': 0.0, 'brake': 0.0}
