2024_04_18__16:33:04.709778: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__16:33:15.411126: Iter 28, FPS: 11.7, STATE: {'status': 'as_driving', 'speed': 5.866340637207031, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.65508560059355, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 0.03406627475832924, 'throttle': 0.0, 'brake': 0.08663406372070313}
2024_04_18__16:33:15.492907: Iter 29, FPS: 11.0, STATE: {'status': 'as_driving', 'speed': 5.497035026550293, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.026412574562222, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.013336636437012495, 'throttle': 0.0, 'brake': 0.0497035026550293}
2024_04_18__16:33:15.582667: Iter 30, FPS: 12.1, STATE: {'status': 'as_driving', 'speed': 5.298325538635254, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.079811990230866, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.060730751638012115, 'throttle': 0.0, 'brake': 0.02983255386352539}
2024_04_18__16:33:15.666445: Iter 31, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 5.031980037689209, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.26643977834067, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.07392180130009768, 'throttle': 0.0, 'brake': 0.003198003768920899}
2024_04_18__16:33:15.755271: Iter 32, FPS: 11.9, STATE: {'status': 'as_driving', 'speed': 4.909544467926025, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.936423373659242, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.06987388124749533, 'throttle': 0.0, 'brake': 0.003198003768920899}
2024_04_18__16:33:15.836987: Iter 33, FPS: 11.3, STATE: {'status': 'as_driving', 'speed': 4.743314743041992, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.257942259584931, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.05458148831274762, 'throttle': 0.0, 'brake': 0.003198003768920899}
2024_04_18__16:33:15.926339: Iter 34, FPS: 12.2, STATE: {'status': 'as_driving', 'speed': 5.441712379455566, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.237532130675934, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.031204213326729457, 'throttle': 0.0, 'brake': 0.04417123794555664}
2024_04_18__16:33:16.014069: Iter 35, FPS: 11.2, STATE: {'status': 'as_driving', 'speed': 6.603444576263428, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.19161516868923, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.009565430835484112, 'throttle': 0.0, 'brake': 0.16034445762634278}
2024_04_18__16:33:16.098844: Iter 36, FPS: 11.4, STATE: {'status': 'as_driving', 'speed': 7.36944055557251, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.398587373324238, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.19891041880356392, 'throttle': 0.0, 'brake': 0.23694405555725098}
2024_04_18__16:33:16.182029: Iter 37, FPS: 11.8, STATE: {'status': 'as_driving', 'speed': 8.03154182434082, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.796033962465794, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': -0.0724530929701897, 'throttle': 0.0, 'brake': 0.30315418243408204}
