2024_04_16__19:27:17.588537: CONFIG: CAN_MODE = 0, CAMERA_MODE = 2, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__19:27:21.866917: Iter 29, FPS: 11.6, STATE: {'speed': 5.710083484649658, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.63755823212943, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.22918920462643605, 'throttle': 0.0, 'brake': 0.07100834846496583}
2024_04_16__19:27:21.970483: Iter 30, FPS: 10.3, STATE: {'speed': 5.401897430419922, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.32578773353816, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.20589142494786744, 'throttle': 0.0, 'brake': 0.04018974304199219}
2024_04_16__19:27:22.077198: Iter 31, FPS: 9.7, STATE: {'speed': 5.242270469665527, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.688560981074719, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.15258727495368546, 'throttle': 0.0, 'brake': 0.024227046966552736}
2024_04_16__19:27:22.172402: Iter 32, FPS: 9.5, STATE: {'speed': 4.94730281829834, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.459328287521087, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.08095472921084668, 'throttle': 0.0, 'brake': 0.024227046966552736}
2024_04_16__19:27:22.267599: Iter 33, FPS: 10.5, STATE: {'speed': 4.801830291748047, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.503642451273294, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.2886804916463357, 'throttle': 0.0, 'brake': 0.024227046966552736}
2024_04_16__19:27:22.364407: Iter 34, FPS: 10.6, STATE: {'speed': 5.808831214904785, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.615857331598743, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.2849569504854663, 'throttle': 0.0, 'brake': 0.08088312149047852}
2024_04_16__19:27:22.454352: Iter 35, FPS: 10.4, STATE: {'speed': 6.595866680145264, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.437148978632022, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.0596341794314702, 'throttle': 0.0, 'brake': 0.15958666801452637}
2024_04_16__19:27:22.540171: Iter 36, FPS: 11.1, STATE: {'speed': 7.587027549743652, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.117895758064131, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.0037693967952889817, 'throttle': 0.0, 'brake': 0.25870275497436523}
2024_04_16__19:27:22.633918: Iter 37, FPS: 11.7, STATE: {'speed': 8.17902660369873, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.652365725525277, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.039128151729826754, 'throttle': 0.0, 'brake': 0.3179026603698731}
2024_04_16__19:27:22.722965: Iter 38, FPS: 10.8, STATE: {'speed': 8.074697494506836, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.781496447556474, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.06874558569948708, 'throttle': 0.0, 'brake': 0.3074697494506836}
2024_04_16__19:27:22.806744: Iter 39, FPS: 11.2, STATE: {'speed': 7.641890525817871, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.229970119841925, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.06084016256566699, 'throttle': 0.0, 'brake': 0.2641890525817871}
2024_04_16__19:27:22.895911: Iter 40, FPS: 11.8, STATE: {'speed': 7.094496726989746, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.796033962465794, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.3464702109585537, 'throttle': 0.0, 'brake': 0.20944967269897463}
